solution status,position type,GPS tracking elevation cut-off angle,PRN,glofreq,tracking status,pseudorange measurement,doppler freq,Carrier to noise density ratio,locktime,pseudorange residual,range reject code,pseudorange filter weighting
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00018340,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a12340,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00218340,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00018360,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a12360,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00218360,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,59,4,08018386,0.000,1787.252,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a12380,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00218380,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,000183a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a123a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,002183a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,49,6,080183c6,0.000,-26.080,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,49,6,00a123c9,0.000,-20.285,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,49,6,002183c9,0.000,-16.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,000183e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a123e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,002183e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,42,8,08119c04,22207384.775,-56.181,39.773,171.145,-1.266,GOOD,0.024
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,42,8,10b13c0b,22207386.922,-43.698,41.607,171.065,0.000,OBSL2,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,42,8,10319c0b,22207386.484,-43.698,42.534,171.085,0.000,OBSL2,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,57,9,08018026,0.000,-3694.950,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,57,9,00a12029,0.000,-2873.850,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,57,9,00218026,0.000,-2873.850,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00018040,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a12040,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00218040,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,58,11,08119c64,19745501.939,-1457.476,51.109,1055.424,-1.413,GOOD,0.024
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,58,11,10b13c6b,19745502.686,-1133.598,44.615,1055.424,0.000,OBSL2,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,58,11,10319c6b,19745503.086,-1133.599,44.647,1055.414,0.000,OBSL2,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00018080,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a12080,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00218080,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,000180a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a120a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,002180a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,36,0,08539cc4,24664500.959,-1894.315,51.130,863.478,0.085,GOOD,0.102
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,36,0,01933cc4,24664506.024,-1414.645,47.900,983.908,0.000,OBSE5,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,36,0,02333cc4,24664504.912,-1451.487,49.823,1038.646,0.000,OBSE5,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,36,0,02933cc4,24664505.226,-1433.054,51.927,1038.658,0.000,OBSE5,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,2,0,08539ce4,25603952.429,-2865.031,47.099,867.515,-0.763,GOOD,0.102
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,2,0,01933ce4,25603957.590,-2139.566,44.858,866.875,0.000,OBSE5,0.000
